index,bpm,probability,time,downbeat
333,149.948318,0.979048669,66.6573243,false
334,149.945358,0.979444325,66.8575283,false
335,149.95665,0.979551613,67.0577324,false
336,149.969131,0.97986573,67.2578912,true
337,149.980255,0.979995489,67.4580952,false
338,149.996017,0.980367005,67.6580952,false
339,149.996017,0.980745494,67.8581179,false
340,149.996658,0.980900288,68.0581179,false
341,149.997986,0.980852187,68.258254,false
342,150.009109,0.981248617,68.4584807,false
343,150.030334,0.98164165,68.6588435,false
344,150.065521,0.981981158,68.8591156,true
345,150.095551,0.982255995,69.0592063,false
346,150.113953,0.982616782,69.2590476,false
347,150.113953,0.982863843,69.4587528,false
348,150.101013,0.983157694,69.6585714,false
349,150.098511,0.983363926,69.8585034,false
350,150.104065,0.983761311,70.0585714,false
351,150.12149,0.984144151,70.2587528,false
352,150.151566,0.984513521,70.4590249,true
353,150.192352,0.984836638,70.6590476,false
354,150.216812,0.985089004,70.8587528,false
355,150.216812,0.985445917,71.0580499,false
356,150.181046,0.985729516,71.2574376,false
357,150.15126,0.985728145,71.4569615,false
358,150.128418,0.986126542,71.656644,false
359,150.116684,0.98652488,71.8563265,false
360,150.103668,0.986893892,72.0559184,true
361,150.082443,0.987191796,72.2558503,false
362,150.086243,0.987465978,72.4557143,false
363,150.086243,0.987787843,72.6551474,false
364,150.047256,0.987898827,72.8547166,false
365,150.018326,0.987831891,73.0544218,false
366,149.997589,0.988231122,73.2543084,false
367,149.988541,0.98862195,73.454263,false
368,149.983627,0.988999903,73.6543084,true
369,149.986847,0.989385486,73.8543311,false
370,149.988312,0.989745438,74.0543311,false
371,149.988312,0.990127742,74.2541043,false
372,149.967621,0.990527868,74.4540816,false
373,149.962585,0.990697563,74.6538322,false
374,149.938797,0.991097927,74.8538322,false
375,149.933868,0.99149847,75.0537415,false
376,149.919174,0.991899133,75.2538322,true
377,149.919174,0.992289364,75.4536281,false
378,149.89296,0.992690384,75.6537642,false
379,149.89296,0.993091583,75.8539229,false
380,149.89296,0.993491352,76.0534694,false
381,149.842316,0.993482232,76.2533107,false
382,149.812347,0.993883729,76.45322,false
383,149.785004,0.994280696,76.65322,false
384,149.76268,0.994667649,76.853356,true
385,149.749146,0.995057821,77.0541497,false
386,149.787613,0.995419323,77.2553061,false
387,149.861343,0.995807111,77.4566893,false
388,149.96199,0.995978296,77.6583673,false
389,150.097733,0.996199667,77.8598413,false
390,150.232025,0.996602297,78.0605896,false
391,150.321686,0.9922207,78.2601587,false
392,150.321686,0.9922207,78.4597279,true
393,150.356827,0.996766031,78.6592971,false
394,150.406662,0.996379793,78.85839,false
395,150.466431,0.9962008,79.0572562,false
396,150.540878,0.996122599,79.2559184,false
397,150.59169,0.995720208,79.4543084,false
398,150.607712,0.995369971,79.6529025,false
399,150.583282,0.994968832,79.8519048,false
400,150.583282,0.9945876,80.0514059,true
401,150.54245,0.994187593,80.2506122,false
402,150.467407,0.993796945,80.4503628,false
403,150.467407,0.993403554,80.6506349,false
404,150.469757,0.993180156,80.85,false
405,150.452087,0.992778957,81.0493424,false
406,150.40184,0.992388844,81.2489342,false
407,150.335739,0.991996348,81.4489796,false
408,150.335739,0.991610348,81.6493197,true
409,150.323746,0.991266668,81.8488662,false
410,150.295425,0.990869105,82.0485714,false
411,150.249939,0.990468919,82.2485034,false
412,150.200333,0.990214288,82.4487075,false
413,150.142349,0.989814281,82.6490249,false
414,150.069046,0.989424646,82.8495238,false
415,150.008728,0.98902899,83.0502948,false
416,150.008713,0.988636851,83.2509977,true
417,150.005737,0.988288522,83.4509751,false
418,149.994095,0.987897336,83.6509977,false
419,149.970383,0.987598717,83.8511338,false
420,149.953751,0.987550139,84.0514512,false
421,149.929413,0.987151206,84.2517007,false
422,149.903702,0.986850977,84.4520862,false
423,149.868881,0.986483216,84.652517,false
424,149.868881,0.986126542,84.8531066,true
425,149.861328,0.985787034,85.0532653,false
426,149.852783,0.985388815,85.2535374,false
427,149.836639,0.985312343,85.4538322,false
428,149.809601,0.985198677,85.6542404,false
429,149.787155,0.984800696,85.8548073,false
430,149.775269,0.984439909,86.0553515,false
431,149.780182,0.984279513,86.2557823,false
432,149.780182,0.983973205,86.4560091,true
433,149.77037,0.983576655,86.6562812,false
434,149.764938,0.983362794,86.8566893,false
435,149.753662,0.983392179,87.0570522,false
436,149.735306,0.983329892,87.2575057,false
437,149.716141,0.982932687,87.4580726,false
438,149.710129,0.982536733,87.6586621,false
439,149.724579,0.982225537,87.8591156,false
440,149.724579,0.981884122,88.0592971,true
441,149.727203,0.981488764,88.2596599,false
442,149.733124,0.981164098,88.4599773,false
443,149.723923,0.98103261,88.6602494,false
444,149.721695,0.980824411,88.8607256,false
445,149.728271,0.980428219,89.0611111,false
446,149.752029,0.980231941,89.2613832,false
447,149.799988,0.980018198,89.4614286,false
448,149.799988,0.979622841,89.6611111,true
449,149.795868,0.979282975,89.8613605,false
450,149.799316,0.978937089,90.061678,false
451,149.806854,0.978690505,90.2618821,false
452,149.817383,0.978405774,90.4620408,false
453,149.831558,0.978010535,90.6621542,false
454,149.859344,0.977676809,90.8621995,false
455,149.909912,0.977347553,91.0620408,false
456,149.909912,0.977613449,91.261542,true
457,149.91539,0.977402985,91.4616553,false
458,149.91626,0.977119446,91.6617007,false
459,149.919418,0.976941049,91.8617914,false
460,149.919937,0.976682723,92.0618594,false
461,149.92807,0.976288199,92.2619501,false
462,149.951385,0.975988746,92.4619274,false
463,149.994293,0.975710809,92.6617007,false
464,149.994293,0.97603488,92.8611791,true
465,150.00238,0.975779593,93.0611791,false
466,150.016251,0.975469053,93.2610658,false
467,150.01947,0.975340068,93.4608617,false
468,150.01651,0.975130439,93.6607937,false
469,150.007324,0.974736512,93.8607937,false
470,150.011475,0.974346697,94.0608844,false
471,150.036255,0.97401911,94.2608163,false
472,150.036255,0.973850071,94.4604535,true
473,150.042313,0.973515689,94.6603855,false
474,150.051254,0.973140299,94.8602494,false
475,150.064224,0.97308594,95.060068,false
476,150.068039,0.972966552,95.2598186,false
477,150.070145,0.972530782,95.4596599,false
478,150.074692,0.972124696,95.6595238,false
479,150.089081,0.971820891,95.8593651,false
480,150.089066,0.971658647,96.0590703,true
481,150.082153,0.971156061,96.2589342,false
482,150.078888,0.970779061,96.4588889,false
483,150.078979,0.971226215,96.6588209,false
484,150.08046,0.97148174,96.8587075,false
485,150.086151,0.971014678,97.0585714,false
486,150.100647,0.970518649,97.2583673,false
487,150.11705,0.970388353,97.4580499,false
488,150.11705,0.970314562,97.6576871,true
489,150.117233,0.970217407,97.8575283,false
490,150.115219,0.969894171,98.0573696,false
491,150.114517,0.969944417,98.2572336,false
492,150.114563,0.970544696,98.4570748,false
493,150.112381,0.970091522,98.6569161,false
494,150.108444,0.970037818,98.85678,false
495,150.115005,0.969776928,99.0566667,false
496,150.115021,0.96971494,99.2564399,true
497,150.114197,0.969633698,99.4562812,false
498,150.117371,0.969389737,99.6561224,false
499,150.122406,0.969758689,99.8559184,false
500,150.124664,0.970204234,100.055692,false
501,150.128265,0.969772518,100.255488,false
502,150.113861,0.969584942,100.455261,false
503,150.104706,0.969359875,100.655261,false
504,150.104706,0.969195545,100.855215,true
505,150.103714,0.968986988,101.055057,false
506,150.10321,0.968870103,101.254921,false
507,150.088837,0.968467653,101.454785,false
508,150.07222,0.969458878,101.65483,false
509,150.066177,0.969017148,101.854921,false
510,150.065002,0.968789458,102.054898,false
511,150.071533,0.968786836,102.254807,false
512,150.071533,0.968720317,102.454626,true
513,150.071228,0.968426466,102.654512,false
514,150.068848,0.967949748,102.854399,false
515,150.059738,0.968498647,103.054331,false
516,150.04834,0.96911329,103.254354,false
517,150.040527,0.968683898,103.454422,false
518,150.02829,0.96859163,103.654444,false
519,150.017456,0.968452692,103.854535,false
520,150.017456,0.968183041,104.054626,true
521,150.019806,0.967910349,104.25458,false
522,150.024368,0.96780622,104.454512,false
523,150.018463,0.967964888,104.654422,false
524,150.010742,0.968803465,104.854467,false
525,149.996353,0.968379796,105.054535,false
526,149.980408,0.968315125,105.254694,false
527,149.968948,0.968290687,105.454898,false
528,149.968948,0.968148351,105.655079,true
529,149.966431,0.967982709,105.855102,false
530,149.966751,0.967528701,106.05517,false
531,149.959198,0.967861414,106.255193,false
532,149.946075,0.968954384,106.455329,false
533,149.938507,0.968555391,106.655556,false
534,149.935593,0.968290508,106.855714,false
